net, batch 8 time
resnet, 14.162063598632812
p 0.25, 12.209177017211914
p 0.5, 11.02447509765625
p 1, 9.53531265258789
p 2, 7.9441070556640625
p 4, 6.571292877197266
p 0.25 custom, 11.297225952148438
p 0.5 custom, 9.547233581542969
p 1 custom,
p 2 custom,
p 4 custom,
DCP 0.5, 10.452032089233398
Mobilenet V2, 6.222963333129883
Shufflenet v2 x1, 7.335662841796875
squeezenet 1_0, 5.051136016845703
squeezenet 1_1, 3.1197071075439453
